coin_id,price_usd,timestamp
bitcoin,77636.0,2026-04-29 12:31:53.789750
dogecoin,0.095625,2026-04-29 12:31:53.789750
ethereum,2316.97,2026-04-29 12:31:53.789750
ripple,1.41,2026-04-29 12:31:53.789750
solana,85.5,2026-04-29 12:31:53.789750
